Wall time,Step,Value
,56511,0.2354
,56561,0.2352
,56611,0.2347
,56661,0.2338
,56711,0.2333
,56761,0.2332
,56811,0.2338
,56861,0.2334
,56911,0.2332
,56961,0.2336
,57011,0.2339
,57061,0.2342
,57111,0.2334
,57161,0.2333
,57211,0.2329
,57261,0.2323
,57311,0.2322
,57361,0.2315
,57411,0.2307
,57461,0.2304
,57511,0.2301
,57561,0.2304
,57611,0.2304
,57661,0.2304
,57711,0.2307
,57761,0.2307
,57811,0.2306
,57861,0.2307
,57911,0.2306
,57961,0.2305
,58011,0.2306
,58061,0.2311
,58111,0.2311
,58161,0.2314
,58211,0.2314
,58261,0.231
,58311,0.2311
,58361,0.2312
,58411,0.2308
,58461,0.2311
,58511,0.2309
,58561,0.2313
,58611,0.2311
,58661,0.2307
,58711,0.2306
,58761,0.2308
,58811,0.2308
,58861,0.2307
,58911,0.2304
,58921,0.1138
,58971,0.3683
,59021,0.302
,59071,0.2786
,59121,0.2629
,59171,0.2611
,59221,0.2562
,59271,0.2558
,59321,0.2483
,59371,0.2434
,59421,0.2419
,59471,0.2385
,59521,0.2394
,59571,0.2366
,59621,0.2337
,59671,0.236
,59721,0.2368
,59771,0.2335
,59821,0.2324
,59871,0.2317
,59921,0.2319
,59971,0.2305
,60021,0.2283
,60071,0.227
,60121,0.2261
,60171,0.2267
,60221,0.2297
,60271,0.2326
,60321,0.2339
,60371,0.2331
,60421,0.2325
,60471,0.2312
,60521,0.2296
,60571,0.2294
,60621,0.2311
,60671,0.232
,60721,0.233
,60771,0.2333
,60821,0.2327
,60871,0.2327
,60921,0.2327
,60971,0.2324
,61021,0.232
,61071,0.2325
,61121,0.2324
,61171,0.2321
,61221,0.2328
,61271,0.2336
,61321,0.2336
,61371,0.2341
,61421,0.234
,61471,0.2338
,61521,0.2331
,61571,0.2327
,61621,0.2324
,61671,0.2326
,61721,0.2325
,61771,0.2322
,61821,0.2315
,61871,0.231
,61921,0.2307
,61971,0.2302
,62021,0.2294
,62071,0.2287
,62121,0.2283
,62171,0.2277
,62221,0.2275
,62271,0.2274
,62321,0.2275
,62371,0.2274
,62421,0.2274
,62471,0.2272
,62521,0.2268
,62571,0.2264
,62621,0.2255
,62671,0.225
,62721,0.2247
,62771,0.2247
,62821,0.2245
,62871,0.2266
,62921,0.227
,62971,0.2271
,63021,0.2277
,63071,0.2283
,63121,0.2288
,63171,0.2293
,63221,0.2288
,63271,0.2286
,63321,0.2283
,63371,0.2284
,63421,0.228
,63471,0.2276
,63521,0.2276
,63571,0.2274
,63621,0.2273
,63671,0.2269
,63721,0.2264
,63771,0.2262
,63821,0.226
,63831,0.2379
,63881,0.2053
,63931,0.2549
,63981,0.2375
,64031,0.2288
,64081,0.2193
,64131,0.2185
,64181,0.2195
,64231,0.2193
,64281,0.2223
,64331,0.2237
,64381,0.2249
,64431,0.2224
,64481,0.2192
,64531,0.2196
,64581,0.219
,64631,0.2172
,64681,0.2185
,64731,0.2176
,64781,0.2165
,64831,0.2192
