Wall time,Step,Value
,62615,0.3074
,62665,0.3079
,62715,0.3082
,62765,0.3078
,62815,0.3075
,62865,0.3075
,62915,0.3067
,62965,0.307
,63015,0.307
,63065,0.3066
,63115,0.3063
,63165,0.3062
,63215,0.3056
,63265,0.3051
,63315,0.3054
,63365,0.306
,63415,0.3062
,63465,0.3063
,63515,0.3065
,63565,0.3065
,63615,0.3063
,63662,0.1303
,63712,0.2902
,63762,0.2885
,63812,0.2908
,63862,0.2922
,63912,0.2891
,63962,0.286
,64012,0.2818
,64062,0.2788
,64112,0.2761
,64162,0.2771
,64212,0.2842
,64262,0.2839
,64312,0.2866
,64362,0.2883
,64412,0.2895
,64462,0.2921
,64512,0.2903
,64562,0.291
,64612,0.2917
,64662,0.2917
,64712,0.2909
,64762,0.2901
,64812,0.2901
,64862,0.2912
,64912,0.2915
,64962,0.2933
,65012,0.2917
,65062,0.2953
,65112,0.2988
,65162,0.2992
,65212,0.2985
,65262,0.3004
,65312,0.3004
,65362,0.2991
,65412,0.2986
,65462,0.2984
,65512,0.2996
,65562,0.2997
,65612,0.2996
,65662,0.2995
,65712,0.2995
,65762,0.2992
,65812,0.2996
,65862,0.2999
,65912,0.2991
,65962,0.2983
,66012,0.2983
,66062,0.2974
,66112,0.2974
,66162,0.2962
,66212,0.2977
,66262,0.2971
,66312,0.2969
,66362,0.2963
,66412,0.2959
,66462,0.2966
,66512,0.2974
,66562,0.297
,66612,0.2973
,66662,0.2973
,66712,0.2967
,66762,0.2979
,66812,0.2979
,66862,0.2973
,66912,0.2976
,66962,0.2975
,67012,0.2981
,67062,0.2982
,67112,0.2977
,67162,0.2971
,67212,0.2981
,67262,0.298
,67312,0.2983
,67362,0.2981
,67412,0.2981
,67462,0.2974
,67512,0.297
,67562,0.2969
,67612,0.2975
,67662,0.298
,67712,0.2984
,67762,0.2994
,67812,0.3001
,67862,0.3001
,67912,0.3
,67962,0.2999
,68012,0.3006
,68062,0.3008
,68112,0.3007
,68162,0.3012
,68212,0.3011
