Step,Value
48852,0.1308
48902,0.1308
48952,0.1307
49002,0.1305
49052,0.1307
49102,0.1307
49152,0.131
49202,0.1311
49252,0.1309
49302,0.1306
49352,0.1309
49402,0.131
49452,0.1312
49502,0.1312
49552,0.1312
49602,0.1316
49652,0.1316
49702,0.1317
49752,0.1318
49802,0.1317
49852,0.1317
49902,0.1316
49952,0.1314
50002,0.1313
50052,0.1312
50102,0.1313
50152,0.1312
50202,0.1312
50252,0.131
50302,0.131
50352,0.1309
50391,0.0873
50441,0.1253
50491,0.1462
50541,0.1461
50591,0.1412
50641,0.1378
50691,0.1371
50741,0.1358
50791,0.1351
50841,0.1321
50891,0.1315
50941,0.1315
50991,0.1314
51041,0.1335
51091,0.134
51141,0.134
51191,0.1329
51241,0.1326
51291,0.1317
51341,0.131
51391,0.1316
51441,0.1319
51491,0.1322
51541,0.1317
51591,0.1305
51641,0.1305
51691,0.1298
51741,0.13
51791,0.1294
51841,0.1292
51891,0.129
51941,0.1286
51991,0.1282
52041,0.1277
52091,0.1277
52141,0.1276
52191,0.1274
52241,0.1275
52291,0.1271
52341,0.1271
52391,0.1276
52441,0.1278
52491,0.1274
52541,0.1279
52591,0.1277
52641,0.1274
52691,0.1271
52741,0.1272
52791,0.1271
52841,0.1269
52891,0.1271
52941,0.127
52991,0.1268
53041,0.1268
53091,0.1292
53141,0.1295
53191,0.1293
53241,0.1292
53291,0.1291
53341,0.1292
53391,0.1292
53441,0.1295
53491,0.1294
53541,0.13
53591,0.1302
53641,0.1299
53691,0.1298
53741,0.1297
53791,0.1295
53841,0.1296
53891,0.1295
53941,0.1293
53991,0.1293
54041,0.1296
54091,0.1295
54141,0.1294
54191,0.1291
54241,0.1292
54291,0.1293
54341,0.1296
54391,0.1298
54441,0.1297
54491,0.1296
54541,0.1295
54591,0.1297
54641,0.1296
54691,0.1294
54741,0.1294
54791,0.1292
54841,0.1292
54891,0.1291
54941,0.1289
54991,0.1292
55041,0.1294
55091,0.1293
55141,0.1292
55191,0.1292
55241,0.129
55291,0.1289
55341,0.1286
55391,0.1284
55430,0.0493
55480,0.1227
55530,0.1301
